,userid
918,244053
919,244062
920,244160
921,244666
922,244848
923,244963
924,245133
925,245165
926,245246
927,245296
928,245515
929,245835
930,246013
931,246246
932,246249
933,246435
934,246547
935,246956
936,247053
937,247071
938,247221
939,247226
940,247848
941,248030
942,248350
943,248654
944,250016
945,250170
946,250362
947,250481
948,250567
949,250771
950,250902
951,251139
952,251573
953,252286
954,252934
955,253126
956,253195
957,253210
958,253535
959,253928
960,253930
961,254218
962,254223
963,254429
964,254431
965,254444
966,254504
967,255090
968,255120
969,255288
970,255840
971,255878
972,256152
973,256163
974,256330
975,256459
976,256846
977,256885
978,257063
979,257205
980,257317
981,257480
982,257567
983,257952
984,257955
985,257995
986,258427
987,258624
988,258657
989,258870
990,259004
991,259047
992,259164
993,259429
994,259441
995,260003
996,260051
997,260163
998,260382
999,260806
1000,260854
1001,261057
1002,261214
1003,261228
1004,261391
1005,261406
1006,262020
1007,262878
1008,263139
1009,263479
1010,264022
1011,264114
1012,264284
1013,264989
1014,265453
1015,266543
1016,266731
1017,266882
1018,267542
1019,267592
1020,267801
1021,267830
1022,267879
1023,267975
1024,268342
1025,268709
1026,269140
1027,269313
1028,269418
1029,269620
1030,269706
1031,269804
1032,269931
1033,270042
1034,270392
1035,270638
1036,270692
1037,270743
1038,270783
1039,270911
1040,270953
1041,272488
1042,272504
1043,272570
1044,273689
1045,273818
1046,274449
1047,274693
1048,274884
1049,274956
1050,275124
1051,275226
1052,275554
1053,275562
1054,275668
1055,275904
1056,276067
1057,276086
1058,276231
1059,276444
1060,276741
1061,276990
1062,277601
1063,277928
1064,277957
1065,278873
1066,279058
1067,279224
1068,279310
1069,279692
1070,279830
1071,280860
1072,281206
1073,281412
1074,281484
1075,281825
1076,281995
1077,282108
1078,282110
1079,283335
1080,283751
1081,284161
1082,284263
1083,284418
1084,285396
1085,286058
1086,287156
1087,287213
1088,287538
1089,287592
1090,288206
1091,288320
1092,289231
1093,289783
1094,290469
1095,292140
1096,292141
1097,292537
1098,293367
1099,293917
1100,294312
1101,294353
1102,294431
1103,294744
1104,294792
1105,296008
1106,296011
1107,297020
1108,297685
1109,297744
1110,297840
1111,298412
1112,298703
1113,298852
1114,299679
1115,300332
1116,300461
1117,300583
1118,300617
1119,300684
1120,300828
1121,300877
1122,301177
1123,301806
1124,302588
1125,302705
1126,303208
1127,303238
1128,303696
1129,303797
1130,304192
1131,304423
1132,305138
1133,305478
1134,305521
1135,306220
1136,306317
1137,306353
1138,306477
1139,306709
1140,307555
1141,307677
1142,307935
1143,308312
1144,308342
1145,308512
1146,308584
1147,309164
1148,310676
1149,310998
1150,311611
1151,311876
1152,311914
1153,312562
1154,312841
1155,312856
1156,313033
1157,313508
1158,313880
1159,314137
1160,314878
1161,314929
1162,316133
1163,316177
1164,316848
1165,317014
1166,317221
1167,317665
1168,317719
1169,318073
1170,318165
1171,318918
1172,319066
1173,319367
1174,320037
1175,321361
1176,321818
1177,324099
1178,324685
1179,324844
1180,325257
1181,325533
1182,326177
1183,326816
1184,326870
1185,327342
1186,327546
1187,327729
1188,327760
1189,328288
1190,328633
1191,329056
1192,329678
1193,330171
1194,330652
1195,331017
1196,331123
1197,331858
1198,331954
1199,332196
1200,332252
1201,332556
1202,333194
1203,333256
1204,333449
1205,333588
1206,334777
1207,335415
1208,336081
1209,336273
1210,337955
1211,338718
1212,338904
1213,340487
1214,340718
1215,340805
1216,341270
1217,342289
1218,343334
1219,345938
1220,346000
1221,346252
1222,346384
1223,346479
1224,346576
1225,346742
1226,347684
1227,348809
1228,349598
1229,349757
1230,350003
1231,350014
1232,350220
1233,350259
1234,350548
1235,351023
1236,351296
1237,352003
1238,352176
1239,352678
1240,352961
1241,353981
1242,354129
1243,355171
1244,355677
1245,356041
1246,356371
1247,356563
1248,356627
1249,359044
1250,359617
1251,361529
1252,361541
1253,362103
1254,362529
1255,362842
1256,363512
1257,363691
1258,363737
1259,363739
1260,364717
1261,367119
1262,367788
1263,368938
1264,369746
1265,369778
1266,370399
1267,371388
1268,372437
1269,373207
1270,373528
1271,374051
1272,374559
1273,374732
1274,375094
1275,375329
1276,375728
1277,376133
1278,376780
1279,379568
1280,379777
1281,381166
1282,381570
1283,382125
1284,382192
1285,382547
1286,383319
1287,383751
1288,384700
1289,385448
1290,385777
1291,386108
1292,386514
1293,387742
1294,388120
1295,388805
1296,389584
1297,390174
1298,390220
1299,392831
1300,393305
1301,393465
1302,394448
1303,394673
1304,394884
1305,395068
1306,396613
1307,396861
1308,397219
1309,397768
1310,398336
1311,398359
1312,398601
1313,398695
1314,398726
1315,399560
1316,399572
1317,399908
1318,399981
1319,400119
1320,400241
1321,400291
